,fluxes
EX_cpd02701_b,0.0
EX_cpd11416_b,0.34140359845770957
EX_cpd00067_b,-16.367
EX_cpd00106_b,0.0
EX_cpd00036_b,0.243
EX_cpd11576_b,0.0
EX_cpd04097_b,0.0
EX_cpd11585_b,0.0
EX_cpd11582_b,0.0
EX_cpd00012_b,0.0
EX_cpd11586_b,0.0
EX_cpd01030_b,0.0
EX_cpd01012_b,0.0
EX_cpd00635_b,0.0
EX_cpd00276_b,0.0
EX_cpd00082_b,0.0
EX_cpd00001_b,24.408717321348853
EX_cpd00023_b,0.0
EX_cpd00971_b,0.0
EX_cpd00058_b,-0.0022145830880504072
EX_cpd00314_b,0.0
EX_cpd01017_b,0.0
EX_cpd00797_b,2.001
EX_cpd00051_b,0.0
EX_cpd00064_b,0.0
EX_cpd00179_b,0.0
EX_cpd00100_b,-0.8220000000000001
EX_cpd11591_b,0.0
EX_cpd00060_b,0.0
EX_cpd00034_b,-0.0022145830880504072
EX_cpd10516_b,-0.008858332352201629
EX_cpd11593_b,0.0
EX_cpd00076_b,0.0
EX_cpd01171_b,0.0
EX_cpd15605_b,0.0
EX_cpd00264_b,0.0
EX_cpd03724_b,0.0
EX_cpd00637_b,0.0
EX_cpd00041_b,0.02193
EX_cpd00122_b,0.0
EX_cpd00035_b,0.0
EX_cpd15603_b,0.0
EX_cpd03696_b,0.0
EX_cpd00118_b,0.0
EX_cpd00309_b,0.0
EX_cpd11580_b,0.0
EX_cpd00220_b,0.0
EX_cpd00137_b,0.0
EX_cpd00588_b,0.0
EX_cpd00423_b,0.0
EX_cpd00117_b,-1.0834339088722658
EX_cpd00254_b,-0.0022145830880504072
EX_cpd00205_b,-0.0022145830880504072
EX_cpd00138_b,0.0
EX_cpd00039_b,-0.07735754773247004
EX_cpd00009_b,-0.38001592014416025
EX_cpd15606_b,0.0
EX_cpd00048_b,-0.07491117787380298
EX_cpd00030_b,-0.0022145830880504072
EX_cpd00149_b,-0.0022145830880504072
EX_cpd01914_b,0.0
EX_cpd00531_b,0.0
EX_cpd11583_b,0.0
EX_cpd00162_b,-1.421
EX_cpd11589_b,0.0
EX_cpd00027_b,0.0
EX_cpd03725_b,0.0
EX_cpd00794_b,0.0
EX_cpd00226_b,0.0
EX_cpd11588_b,0.0
EX_cpd00268_b,0.0
EX_cpd15604_b,0.0
EX_cpd00104_b,0.0
EX_cpd00007_b,0.8382987194119422
EX_cpd03424_b,0.0
EX_cpd11592_b,0.0
EX_cpd11587_b,0.0
EX_cpd00092_b,0.0
EX_cpd00053_b,0.0
EX_cpd11590_b,0.0
EX_cpd11581_b,0.0
EX_cpd11584_b,0.0
EX_cpd00158_b,0.0
EX_cpd00011_b,0.0
EX_cpd00063_b,-0.0022145830880504072
EX_cpd00013_b,0.0
EX_cpd00099_b,-0.0022145830880504072
rxn02201_c0bsp,0.005692318830974106
rxn07431_c0bsp,0.0
rxn00836_c0bsp,0.0
rxn00390_c0bsp,0.0
rxn08180_c0bsp,0.0
rxn00423_c0bsp,0.0
rxn00364_c0bsp,0.0
rxn05561_c0bsp,0.0
rxn03408_c0bsp,0.00043161634793422436
rxn02177_c0bsp,0.0
rxn05250_c0bsp,0.0
rxn05440_c0bsp,0.019870323885401664
rxn00935_c0bsp,0.7547560987732056
rxn01673_c0bsp,-0.0032111346211526294
rxn00247_c0bsp,0.0
rxn02342_c0bsp,1.3543957927724857
rxn10311_c0bsp,0.00043161634793422446
rxn01452_c0bsp,0.0
rxn00022_c0bsp,0.0
rxn00973_c0bsp,0.0
rxn02000_c0bsp,0.0
rxn03239_c0bsp,0.0
rxn00322_c0bsp,0.0
rxn05457_c0bsp,0.0
rxn04271_c0bsp,0.0
rxn13783_c0bsp,0.23898251892039668
rxn10118_c0bsp,0.0
rxn00557_c0bsp,0.0
rxn05392_c0bsp,0.019870323885401664
rxn00199_c0bsp,0.005692318830974106
rxn01358_c0bsp,0.023620153794466338
rxn03433_c0bsp,0.0
rxn10231_c0bsp,0.0
rxn12637_c0bsp,0.0
rxn01219_c0bsp,-0.0032111346211526294
rxn00519_c0bsp,-1.7505758306163801
rxn00258_c0bsp,-0.3974064777080331
rxn00800_c0bsp,0.0423996961156455
rxn09177_c0bsp,0.0037948792206494394
rxn00211_c0bsp,0.0
rxn00179_c0bsp,0.05001356596713793
rxn01210_c0bsp,0.0
rxn01218_c0bsp,0.0032111346211526294
rxn05367_c0bsp,0.019870323885401654
rxn02898_c0bsp,0.003794879220649404
rxn05654_c0bsp,-0.243
rxn00545_c0bsp,0.0
rxn00771_c0bsp,0.0
rxn08807_c0bsp,0.0
rxn05614_c0bsp,0.0
rxn02316_c0bsp,-0.32201299511037607
rxn10344_c0bsp,0.0
rxn01547_c0bsp,-0.022831822192699993
rxn02320_c0bsp,-0.019584189299359497
rxn06488_c0bsp,0.0
rxn01405_c0bsp,-0.001897439610324706
rxn02504_c0bsp,0.005692318830974106
rxn04996_c0bsp,0.0
rxn00262_c0bsp,0.0
rxn05404_c0bsp,0.019870323885401664
rxn02796_c0bsp,0.0
rxn10262_c0bsp,0.0
rxn10126_c0bsp,0.0
rxn04048_c0bsp,0.0
rxn10225_c0bsp,0.0
rxn03463_c0bsp,0.0
rxn01486_c0bsp,0.00569231883097411
rxn00898_c0bsp,0.13380513594367802
rxn05444_c0bsp,0.019870323885401654
rxn05040_c0bsp,0.007589758441298824
rxn05400_c0bsp,0.019870323885401664
rxn03030_c0bsp,0.00043161634793422436
rxn05235_c0bsp,0.006422269242305259
rxn02090_c0bsp,0.0
rxn08556_c0bsp,0.0
rxn01843_c0bsp,0.0
rxn01750_c0bsp,0.0
rxn02988_c0bsp,0.0037948792206483617
rxn01021_c0bsp,0.0
rxn00165_c0bsp,0.5253441144982167
rxn10228_c0bsp,0.0
rxn05814_c0bsp,0.0
rxn05542_c0bsp,0.0
rxn00539_c0bsp,1.421
rxn00678_c0bsp,0.0
rxn03667_c0bsp,0.0
rxn00001_c0bsp,1.0072246581640416
rxn01331_c0bsp,0.0
rxn05545_c0bsp,0.0
rxn11268_c0bsp,0.0
rxn00710_c0bsp,0.019410704726046717
rxn02305_c0bsp,0.001897439610324706
rxn00470_c0bsp,0.003794879220649412
rxn08817_c0bsp,0.0
rxn00910_c0bsp,0.0
rxn00953_c0bsp,0.021200770004353713
rxn11944_c0bsp,0.0
rxn08296_c0bsp,0.0
rxn05541_c0bsp,0.0
rxn05647_c0bsp,0.0
rxn01297_c0bsp,0.022831822192699993
rxn10254_c0bsp,-0.0017264653917368979
rxn05459_c0bsp,0.0
rxn05453_c0bsp,0.0
rxn01682_c0bsp,0.01302348588407408
rxn08796_c0bsp,0.0
rxn01604_c0bsp,0.0
rxn06493_c0bsp,0.0
rxn12846_c0bsp,0.0
rxn00337_c0bsp,0.029453158137871818
rxn01231_c0bsp,0.0
rxn08308_c0bsp,0.0
rxn08823_c0bsp,0.0
rxn05434_c0bsp,0.019870323885401654
rxn05346_c0bsp,0.0
rxn00867_c0bsp,0.0
rxn07680_c0bsp,0.0
rxn03248_c0bsp,0.0
rxn05516_c0bsp,0.0
rxn05142_c0bsp,0.0
rxn05733_c0bsp,0.0
rxn00827_c0bsp,0.0
rxn09206_c0bsp,0.0
rxn12158_c0bsp,0.0
rxn01134_c0bsp,0.0
rxn02376_c0bsp,0.0
rxn10147_c0bsp,0.0
rxn02279_c0bsp,0.0
rxn09209_c0bsp,0.0
rxn12512_c0bsp,0.0
rxn08669_c0bsp,-0.006156522413222947
rxn00902_c0bsp,0.056471625903933564
rxn00015_c0bsp,0.001897439610324706
rxn00658_c0bsp,0.0
rxn00449_c0bsp,0.0
rxn06672_c0bsp,0.0
rxn02961_c0bsp,0.0
rxn00649_c0bsp,0.0
rxn01739_c0bsp,0.0930507070402773
rxn02400_c0bsp,0.0
rxn01268_c0bsp,0.0
rxn07434_c0bsp,0.019870323885401654
rxn01974_c0bsp,0.00043161634793422436
rxn00242_c0bsp,0.0
rxn12641_c0bsp,0.0
rxn00568_c0bsp,0.0
rxn00762_c0bsp,0.0
rxn08971_c0bsp,0.0
rxn05104_c0bsp,0.0
rxn01635_c0bsp,0.0
rxn08471_c0bsp,0.0
rxn04384_c0bsp,0.0
rxn03887_c0bsp,0.0
rxn00060_c0bsp,0.003794879220649412
rxn00225_c0bsp,0.0
rxn05350_c0bsp,0.0
rxn09198_c0bsp,0.0
rxn08838_c0bsp,0.0
rxn00780_c0bsp,0.0
rxn00148_c0bsp,0.0
rxn01102_c0bsp,0.0
rxn05569_c0bsp,-1.7147620233362475
rxn05358_c0bsp,0.019870323885401654
rxn00100_c0bsp,0.0037948792206494394
rxn03482_c0bsp,0.0
rxn00789_c0bsp,0.019584189299359497
rxn02374_c0bsp,0.0
rxn05560_c0bsp,1.4583105341255205
rxn05437_c0bsp,0.019870323885401654
rxn08976_c0bsp,0.0
rxn00781_c0bsp,2.7651027539725836
rxn05319_c0bsp,24.14083913555732
rxn00881_c0bsp,0.0
rxn05298_c0bsp,-0.8905548263802532
rxn05408_c0bsp,0.0
rxn00292_c0bsp,0.0
rxn05401_c0bsp,0.019870323885401664
rxn02264_c0bsp,0.003794879220649412
rxn03185_c0bsp,0.0
rxn09202_c0bsp,0.0020521741377409826
rxn01451_c0bsp,0.0
rxn02687_c0bsp,0.0
rxn03903_c0bsp,0.0
rxn00097_c0bsp,0.6093139921126753
rxn01217_c0bsp,0.0
rxn02212_c0bsp,0.0930507070402773
rxn07670_c0bsp,0.0
rxn05324_c0bsp,0.0
rxn10481_c0bsp,0.001897439610324706
rxn03535_c0bsp,0.0
rxn00655_c0bsp,0.0
rxn00692_c0bsp,0.6175250734966733
rxn01492_c0bsp,1.4583105341255205
rxn00802_c0bsp,0.04621868674648851
rxn08802_c0bsp,0.0
rxn02315_c0bsp,0.0
rxn00556_c0bsp,0.0
rxn01825_c0bsp,0.0
rxn00926_c0bsp,0.0
rxn10230_c0bsp,0.0
rxn08884_c0bsp,0.0
rxn05413_c0bsp,0.0
rxn02703_c0bsp,0.0
rxn00913_c0bsp,0.0
rxn01997_c0bsp,0.0
rxn08521_c0bsp,0.0
rxn08809_c0bsp,-0.019870323885401654
rxn00171_c0bsp,1.7319618416228126
rxn03958_c0bsp,-0.05028633047506935
rxn00259_c0bsp,0.0
rxn00345_c0bsp,0.0
rxn00178_c0bsp,2.0474356606107524
rxn01362_c0bsp,0.019410704726046717
rxn03174_c0bsp,0.0
rxn00549_c0bsp,0.0
rxn04779_c0bsp,0.0
rxn07875_c0bsp,0.0
rxn05418_c0bsp,0.0
rxn00506_c0bsp,0.0
rxn10060_c0bsp,-0.0032111346211526294
rxn02933_c0bsp,0.0
rxn02261_c0bsp,0.0
rxn00727_c0bsp,0.0
rxn10307_c0bsp,0.0
rxn05617_c0bsp,0.0
rxn03852_c0bsp,0.0012948490438026733
rxn12638_c0bsp,0.0
rxn02268_c0bsp,0.0
rxn05127_c0bsp,0.0
rxn00305_c0bsp,0.0
rxn01445_c0bsp,0.31417297624396506
rxn05248_c0bsp,0.0
rxn00612_c0bsp,0.0
rxn05539_c0bsp,0.0
rxn08841_c0bsp,0.0
rxn05461_c0bsp,0.0
rxn07312_c0bsp,0.0
rxn12405_c0bsp,-2.001
rxn02159_c0bsp,0.0
rxn10222_c0bsp,0.0
rxn00269_c0bsp,0.0
rxn10263_c0bsp,0.0
rxn02791_c0bsp,0.0
rxn08814_c0bsp,0.0
rxn08845_c0bsp,0.0
rxn01292_c0bsp,0.0
rxn00300_c0bsp,0.003794879220649412
rxn01925_c0bsp,0.0
rxn02380_c0bsp,2.059035088510345
rxn08792_c0bsp,0.0
rxn00999_c0bsp,0.0
rxn10131_c0bsp,0.0
rxn05417_c0bsp,0.0
rxn08799_c0bsp,0.0
rxn05234_c0bsp,0.3173841108651177
rxn05049_c0bsp,0.0
rxn01157_c0bsp,0.0
rxn05957_c0bsp,0.021200770004353713
rxn01844_c0bsp,0.0
rxn05938_c0bsp,0.0
rxn03419_c0bsp,0.0
rxn11610_c0bsp,0.0
rxn10256_c0bsp,0.0
rxn04781_c0bsp,0.0
rxn00679_c0bsp,0.0
rxn00758_c0bsp,0.0
rxn02975_c0bsp,0.0
rxn02103_c0bsp,0.0
rxn00672_c0bsp,0.0
rxn10314_c0bsp,0.0
rxn09111_c0bsp,0.0
rxn06078_c0bsp,0.0
rxn00471_c0bsp,0.0
rxn05607_c0bsp,0.0
rxn03848_c0bsp,0.0
rxn05348_c0bsp,0.0
rxn05435_c0bsp,0.019870323885401654
rxn00798_c0bsp,0.0
rxn03245_c0bsp,0.0
rxn01504_c0bsp,0.04643566061075234
rxn00907_c0bsp,-1.5919224792200846
rxn05458_c0bsp,0.0
rxn08300_c0bsp,0.0
rxn08297_c0bsp,0.0
rxn02911_c0bsp,0.0
rxn00012_c0bsp,0.0
rxn10067_c0bsp,0.0
rxn05581_c0bsp,-0.011
rxn07721_c0bsp,0.0
rxn05450_c0bsp,0.0
rxn12847_c0bsp,0.0
rxn05410_c0bsp,0.0
rxn05443_c0bsp,0.019870323885401664
rxn09320_c0bsp,0.0
rxn09114_c0bsp,0.0
rxn05535_c0bsp,0.0
rxn08822_c0bsp,0.0
rxn05345_c0bsp,0.0
rxn04068_c0bsp,0.0
rxn01522_c0bsp,0.0
rxn00336_c0bsp,-0.005692318830974106
rxn05422_c0bsp,0.0
rxn03891_c0bsp,0.00569231883097411
rxn01465_c0bsp,-0.019410704726046717
rxn06387_c0bsp,0.0
rxn03052_c0bsp,0.0
rxn01872_c0bsp,0.0
rxn01301_c0bsp,0.0
rxn01643_c0bsp,0.029453158137871818
rxn04457_c0bsp,0.0
rxn00248_c0bsp,-1.8216955820294443
rxn00295_c0bsp,0.012948490438026735
rxn00499_c0bsp,1.6603538993799953
rxn08844_c0bsp,0.0
rxn05385_c0bsp,0.019870323885401664
rxn00707_c0bsp,0.0
rxn00369_c0bsp,-0.2551244921115645
rxn06937_c0bsp,0.0
rxn03095_c0bsp,0.0
rxn01220_c0bsp,0.0
rxn00566_c0bsp,0.0
rxn00708_c0bsp,0.0
rxn00289_c0bsp,0.0
rxn07433_c0bsp,-0.026565336725350677
rxn03762_c0bsp,0.0
rxn01269_c0bsp,0.02843401611095677
rxn00392_c0bsp,0.001897439610324706
rxn00747_c0bsp,-1.2408234090741468
rxn01334_c0bsp,0.0
rxn00830_c0bsp,0.006123935178908335
rxn05219_c0bsp,0.0
rxn10113_c0bsp,0.0
rxn03406_c0bsp,0.0
rxn00029_c0bsp,0.015179516882597648
rxn06673_c0bsp,0.0
rxn07734_c0bsp,0.0
rxn12646_c0bsp,0.0
