,fluxes
EX_cpd11416_b,0.34893941160068426
EX_cpd00067_b,-10.0
EX_cpd00033_b,0.0
EX_cpd00118_b,0.0
EX_cpd00129_b,0.0
EX_cpd00039_b,-0.11100871103838114
EX_cpd00276_b,0.0
EX_cpd00023_b,0.0
EX_cpd00367_b,0.0
EX_cpd00063_b,-0.002060667998003883
EX_cpd00058_b,-0.002060667998003883
EX_cpd00184_b,0.0
EX_cpd00314_b,0.0
EX_cpd00222_b,0.0
EX_cpd00051_b,-0.3084854675518126
EX_cpd00355_b,0.0
EX_cpd00100_b,-0.07720896053618755
EX_cpd00009_b,-0.37039190590323184
EX_cpd00060_b,0.0
EX_cpd00438_b,0.0
EX_cpd00034_b,-0.002060667998003883
EX_cpd10516_b,-0.007335069362079968
EX_cpd00249_b,0.0
EX_cpd00119_b,-0.011616441467851239
EX_cpd00264_b,-0.002060667998003883
EX_cpd00054_b,0.0
EX_cpd00644_b,0.0
EX_cpd00122_b,0.0
EX_cpd00035_b,0.0
EX_cpd00277_b,0.0
EX_cpd00254_b,-0.002060667998003883
EX_cpd00205_b,-0.002060667998003883
EX_cpd00305_b,-0.00045380131496778193
EX_cpd00065_b,0.0
EX_cpd00048_b,-0.07629666148334446
EX_cpd03847_b,-0.0219925017875327
EX_cpd00030_b,-0.002060667998003883
EX_cpd00149_b,-0.002060667998003883
EX_cpd00099_b,-0.002060667998003883
EX_cpd00027_b,-0.283
EX_cpd00794_b,0.0
EX_cpd00226_b,-0.013570086124806494
EX_cpd00268_b,0.0
EX_cpd00069_b,-0.01768570583026784
EX_cpd00007_b,-0.9047425641993355
EX_cpd00092_b,0.12857640103481702
EX_cpd01080_b,-0.012484152431529828
EX_cpd00066_b,-0.022645534771597635
EX_cpd00011_b,-0.47253782600436234
EX_cpd00028_b,-0.0009076026299355639
EX_cpd00322_b,-0.03543667256765864
rxn02201_c0ksp,0.0
rxn00351_c0ksp,0.0
rxn00836_c0ksp,2.1783209638069088
rxn00390_c0ksp,0.0
rxn08180_c0ksp,0.0
rxn05318_c0ksp,0.0
rxn01094_c0ksp,0.0
rxn11567_c0ksp,0.0
rxn00423_c0ksp,0.007330833929177567
rxn00364_c0ksp,0.08184090034070006
rxn05561_c0ksp,-0.44686415101167776
rxn03408_c0ksp,0.0036654169645887833
rxn02177_c0ksp,0.0
rxn05250_c0ksp,0.0
rxn00646_c0ksp,0.0
rxn05440_c0ksp,0.012484152431529828
rxn00935_c0ksp,0.0
rxn01673_c0ksp,0.0
rxn00247_c0ksp,0.0
rxn02342_c0ksp,-0.12002807730005495
rxn00642_c0ksp,0.0
rxn00022_c0ksp,0.0
rxn00973_c0ksp,0.3959514365856738
rxn03239_c0ksp,0.0
rxn00322_c0ksp,0.0
