,fluxes
EX_cpd02701_b,0.0
EX_cpd11416_b,0.3988735146215271
EX_cpd00067_b,-16.367
EX_cpd00106_b,0.0
EX_cpd00036_b,0.243
EX_cpd11576_b,0.0
EX_cpd04097_b,0.0
EX_cpd11585_b,0.0
EX_cpd11582_b,0.0
EX_cpd00012_b,0.0
EX_cpd11586_b,0.0
EX_cpd01030_b,0.0
EX_cpd01012_b,0.0
EX_cpd00635_b,0.0
EX_cpd00276_b,0.0
EX_cpd00082_b,0.0
EX_cpd00001_b,24.828799286405413
EX_cpd00023_b,0.0
EX_cpd00971_b,0.0
EX_cpd00058_b,-0.0022261227442073057
EX_cpd00314_b,0.0
EX_cpd01017_b,0.0
EX_cpd00797_b,-0.6252574516434789
EX_cpd00051_b,0.0
EX_cpd00064_b,0.0
EX_cpd00179_b,0.0
EX_cpd00100_b,-1.4180408666164823
EX_cpd11591_b,0.0
EX_cpd00060_b,0.0
EX_cpd00034_b,-0.0022261227442073057
EX_cpd10516_b,-0.008904490976829223
EX_cpd11593_b,0.0
EX_cpd00076_b,0.0
EX_cpd01171_b,0.0
EX_cpd15605_b,0.0
EX_cpd00264_b,0.0
EX_cpd03724_b,0.0
EX_cpd00637_b,0.0
EX_cpd00041_b,-0.02193
EX_cpd00122_b,0.0
EX_cpd00035_b,-0.5012
EX_cpd15603_b,0.0
EX_cpd03696_b,0.0
EX_cpd00118_b,0.0
EX_cpd00309_b,0.0
EX_cpd11580_b,0.0
EX_cpd00220_b,0.0
EX_cpd00137_b,0.0
EX_cpd00588_b,0.0
EX_cpd00423_b,0.0
EX_cpd00117_b,-1.0647449978242773
EX_cpd00254_b,-0.0022261227442073057
EX_cpd00205_b,-0.0022261227442073057
EX_cpd00138_b,0.0
EX_cpd00039_b,-0.12168197713392598
EX_cpd00009_b,-0.4119
EX_cpd15606_b,0.0
EX_cpd00048_b,-0.08785220919788114
EX_cpd00030_b,-0.0022261227442073057
EX_cpd00149_b,-0.0022261227442073057
EX_cpd01914_b,0.0
EX_cpd00531_b,0.0
EX_cpd11583_b,0.0
EX_cpd00162_b,-1.3687424172287286
EX_cpd11589_b,0.0
EX_cpd00027_b,0.0
EX_cpd03725_b,0.0
EX_cpd00794_b,0.0
EX_cpd00226_b,0.0
EX_cpd11588_b,0.0
EX_cpd00268_b,0.0
EX_cpd15604_b,0.0
EX_cpd00104_b,0.0
EX_cpd00007_b,-0.5033135815721523
EX_cpd03424_b,0.0
EX_cpd11592_b,0.0
EX_cpd11587_b,0.0
EX_cpd00092_b,0.0
EX_cpd00053_b,0.0
EX_cpd11590_b,0.0
EX_cpd11581_b,0.0
EX_cpd11584_b,0.0
EX_cpd00158_b,0.0
