,fluxes
EX_cpd11416_b,0.25953796296962395
EX_cpd00067_b,-0.97
EX_cpd00276_b,0.0
EX_cpd00082_b,0.0
EX_cpd00001_b,12.367995245334203
EX_cpd00023_b,0.0
EX_cpd00058_b,-0.0012310280196748983
EX_cpd00107_b,0.0
EX_cpd00013_b,-4.7874
EX_cpd00051_b,0.0
EX_cpd00064_b,0.0
EX_cpd00100_b,-0.05543535511342368
EX_cpd00034_b,-0.0012310280196748983
EX_cpd10516_b,-0.004924112078699593
EX_cpd00027_b,0.0
EX_cpd00322_b,-0.07987399400547493
EX_cpd00122_b,0.0
EX_cpd00254_b,-0.0012310280196748983
EX_cpd00205_b,-0.0012310280196748983
EX_cpd00048_b,-0.05736264172701037
EX_cpd00030_b,-0.0012310280196748983
EX_cpd00149_b,-0.0012310280196748983
EX_cpd00226_b,0.0
EX_cpd00007_b,0.422707032812765
EX_cpd00156_b,0.0
EX_cpd00011_b,0.0
EX_cpd00063_b,-0.0012310280196748983
EX_cpd00009_b,-0.24869963324377115
EX_cpd00099_b,-0.0012310280196748983
rxn02201_c0csp,0.0
rxn00351_c0csp,0.0
rxn07431_c0csp,0.0
rxn00836_c0csp,0.05339010568756547
rxn00390_c0csp,0.0
rxn11567_c0csp,0.0
rxn00423_c0csp,0.015165155458822504
rxn00364_c0csp,0.0956568137678622
rxn03408_c0csp,0.004284191724475261
rxn02177_c0csp,0.0
rxn05250_c0csp,0.0
rxn05440_c0csp,0.014591655751843808
rxn00935_c0csp,0.013219387917298563
rxn01673_c0csp,0.0
rxn02342_c0csp,-0.17828844985919795
rxn00022_c0csp,0.46250803927803985
rxn00973_c0csp,0.0
rxn02000_c0csp,0.004284191724475261
rxn03239_c0csp,0.0
rxn05457_c0csp,-0.025705150346851547
rxn04271_c0csp,0.0
rxn13783_c0csp,0.17129505555995184
rxn10118_c0csp,0.0
rxn05392_c0csp,0.014591655751843808
rxn08934_c0csp,0.0
rxn12008_c0csp,0.0015912283843203163
rxn00199_c0csp,0.0
rxn01358_c0csp,0.0
rxn12637_c0csp,0.0
