,fluxes
EX_cpd11416_b,0.2733414000023621
EX_cpd00067_b,0.0
EX_cpd00001_b,0.0
EX_cpd00058_b,-0.0008463925843661876
EX_cpd00013_b,-2.074157310514662
EX_cpd00051_b,-0.06743245489331906
EX_cpd00064_b,0.06743245489331906
EX_cpd00100_b,-2.743
EX_cpd00060_b,0.0
EX_cpd00034_b,-0.0008463925843661876
EX_cpd00027_b,8.884092571997915
EX_cpd00035_b,0.0
EX_cpd00117_b,0.0
EX_cpd00254_b,-0.0008463925843661876
EX_cpd00142_b,0.0
EX_cpd00159_b,0.0
EX_cpd00039_b,-0.05383519941293504
EX_cpd00009_b,-0.22194893275423816
EX_cpd00129_b,0.0
EX_cpd10516_b,-0.0033855703374647502
EX_cpd00149_b,-0.0008463925843661876
EX_cpd00226_b,0.0
EX_cpd00048_b,-0.06082576406421057
EX_cpd00007_b,-0.8172812582544504
EX_cpd00011_b,0.0
EX_cpd00099_b,-0.0008463925843661876
EX_cpd00063_b,-0.0008463925843661876
EX_cpd00030_b,-0.0008463925843661876
EX_cpd00205_b,-0.0008463925843661876
rxn01734_c0ml,0.0
rxn02201_c0ml,0.0
rxn07431_c0ml,0.0
rxn00836_c0ml,0.0
rxn00390_c0ml,0.0
rxn08180_c0ml,0.0
rxn00423_c0ml,0.01669769579433567
rxn00364_c0ml,0.10415555248166952
rxn03408_c0ml,0.004717137937302307
rxn05250_c0ml,0.0
rxn00935_c0ml,-0.11153321228119606
rxn01673_c0ml,0.0
rxn02342_c0ml,0.3435313804758677
rxn01452_c0ml,0.0
rxn00022_c0ml,0.0
rxn00973_c0ml,0.0
rxn05667_c0ml,0.0
rxn03239_c0ml,0.0
rxn02632_c0ml,0.0
rxn05457_c0ml,-0.02830282762381384
rxn04271_c0ml,0.0
rxn13783_c0ml,0.18860556600162987
rxn10118_c0ml,0.0
rxn05392_c0ml,0.016066240108222146
rxn00199_c0ml,0.001752032649638008
rxn01358_c0ml,0.0
rxn03433_c0ml,0.0
rxn12637_c0ml,0.0
rxn09240_c0ml,0.0
rxn01219_c0ml,0.0
rxn00519_c0ml,-1.2226343091018053
rxn00258_c0ml,-0.4864246299700237
rxn02121_c0ml,0.0
rxn09177_c0ml,0.0
rxn00211_c0ml,0.0
rxn00179_c0ml,0.04769641564281549
rxn02945_c0ml,0.0
rxn00587_c0ml,0.0
rxn01210_c0ml,0.0
rxn00730_c0ml,0.0
rxn00192_c0ml,0.0
rxn01218_c0ml,0.0
